,跳转到第一页,,,,,,,,,,,,,,,,,,,,,
,烫色无版费   线条最细0.1mm左右 常规不掉色，线条尽量平滑不要有透明度，烫色和白墨层都用黑色，出血2mm群文件内有色纸模板，立牌刀线是自适应单边+2mm的常规工厂切线，多插需要标注，图稿层：印刷-白墨-烫色，工期25天左右,,,,,,,,,,,,,,,,,,,,,
,使用 CMYK 色彩模式提交稿件，文件格式包括AI、PSD；推荐分辨600；图稿图层分层注明彩墨、白墨、工艺层。可百分比白墨可渐变白墨,,,,,,,,,,,闪底图参考,包边图参考,,,,,,,,,
,邮件标题：贝壳光/贝壳金色纸/亚克力色纸/立牌+qq号+数量+尺寸,,,,,,,,,,,饼饼定制双闪吧唧闪底 ,,,,,,,,,,
,打样文件名：【贝壳光/贝壳金亚克力色纸/立牌打样】+qq号+收件人名字+闪底+包边+制品尺寸+数量+(多图写图几)，交稿邮箱 2785972877@qq.com,,,,,,,,,,,,,,,,,,,,,
,大货邮件名：【贝壳光/贝壳金亚克力色纸/立牌】+qq号+收件人名字+闪底+包边+制品尺寸+数量+(多图写图几)，交稿邮箱 2785972877@qq.com,,,,,,,,,,,,,,,,,,,,,
,！！！！打样/大货文件名按照格式要求，不对的会退回，亚克力立牌/挂件有任何模切需求或者要额外备注的事项，在psd内用文字图层注明！！！！,,,,,,,,,,,,,,,,,,,,,
,交稿的时候在正文里写上收件地址~，交稿记得带肾图   色差大退款/重做，无白墨渐变色印刷后因油墨较薄，覆膜撕开后可能有反光显脏的效果属于正常范围不售后,,,,,,,,,,,,,,,,,,,,,
,1.烫色错误/切割错误  可以退货退款  2.包边错误/闪底错误这类情况只支持返工  不支持仅退款 （报销寄回邮费ps：普通快递）3.色纸包边如未按照模板做好出血，未留框导致裁边，成品不售后,,,,,,,,,,,,,,,,,,,,,
,      烫单色打样价格为20元  尺寸限10*14内 大于10*14尺寸打样50元 烫双色打样价格x1.5 跟大货车一起发走  包版大货任意尺寸任意板材都可以,,,,,,,云母板烫单色打样价格为  35元  尺寸限10*14内  大于10*14尺寸打样70元  跟大货车一起发走  大货任意尺寸任意板材都可以  私聊芝麻饼报价,,,,,,,,,,,,,,
,"3mm全新防刮板亚克力报价表 50/50的倍数（Durst印刷+立体冷烫）
 cnc精雕（更光滑，不划手）",,,,,,,"常规3mm云母板亚克力报价表 50/50的倍数（Durst印刷+立体冷烫）
cnc精雕（更光滑，不划手）",,,,,,,,,,,,,,
,"亚克力贝壳光立牌
价格为立牌价格  底座如需印刷  需要额外付款一份",,,"贝壳光亚克力色纸3mm（各烫色色号价格一致）
（特殊尺寸私聊芝麻饼报价）",,,,"云母板贝壳光立牌/挂件
价格为立牌价格 底座如需印刷 需要额外付款一份",,,"云母板贝壳光色纸（各烫色色号价格一致）(在群相册）
（特殊尺寸私聊芝麻饼报价）",,,,,,,,,,,
,尺寸为成品尺寸  默认单边透明边2mm  插口高度按额外加5mm计算  底座做普通仿柯（不做贝壳光）以下单价*0.7,,,制作有包边的亚克力色纸，需注意文件增加外出3mm（外出指会被切掉的部分）， 内出5mm （内出指包边会可能会包住造成部分柄图遮挡的部分），由于表印色纸有浮雕感，建议内出部分不做烫色，以免造成包边纸不平整影响观感的情况。,,,,特殊加急(15天不成车强开）：有200个不小于10*14尺寸的发邮件后可以私聊芝麻饼去推车 私聊次日开始算  半个月没成车强开  没有附加费用,,,,,,,,,,,,,,
